diet_score,sleep_hours,activity_level,bmi,hrs_score,bmi_category,health_risk_category
34.12,6.41,7.36,24.9,36.44,Normal,Moderate
58.55,6.78,8.04,28.58,37.6,Overweight,Moderate
49.28,6.14,9.11,20.28,27.22,Normal,Low
52.1,3.82,3.29,30.08,68.96,Obese,High
76.05,5.35,5.23,27.44,43.69,Overweight,Moderate
67.69,4.83,5.22,18.88,42.01,Normal,Moderate
82.07,4.3,4.98,31.0,59.05,Obese,High
55.22,5.57,3.77,35.92,69.71,Obese,High
45.47,8.59,1.93,30.01,59.36,Obese,High
53.97,6.95,5.4,32.05,53.17,Obese,High
62.36,8.55,3.51,25.61,38.91,Overweight,Moderate
61.18,7.49,5.39,17.22,32.89,Underweight,Moderate
38.48,7.94,3.45,16.35,47.47,Underweight,Moderate
59.63,5.92,2.78,26.42,46.47,Overweight,Moderate
62.11,7.63,5.72,22.36,19.82,Normal,Low
100.0,7.87,5.53,20.81,14.55,Normal,Low
91.78,6.31,6.47,24.9,24.37,Normal,Low
42.64,7.67,10.0,28.15,33.27,Overweight,Low
52.83,7.68,5.81,18.23,32.2,Underweight,Moderate
31.66,6.34,6.27,23.05,34.23,Normal,Moderate
47.37,5.65,2.83,32.45,68.53,Obese,High
63.68,5.58,2.37,20.04,41.04,Normal,Moderate
79.71,7.1,8.68,29.37,31.48,Overweight,Low
44.88,7.39,3.17,22.87,30.61,Normal,Low
46.23,6.05,2.9,27.82,52.9,Overweight,Moderate
19.35,7.03,5.11,30.47,57.31,Obese,High
55.07,7.68,5.0,28.76,42.0,Overweight,Moderate
38.88,7.74,3.21,29.56,52.3,Overweight,Moderate
48.47,8.86,4.53,19.67,38.4,Normal,Moderate
42.22,8.53,7.9,30.55,49.46,Obese,Moderate
56.3,5.8,3.43,21.11,36.4,Normal,Moderate
26.36,9.02,2.13,26.45,55.8,Overweight,High
31.59,6.36,7.27,26.44,42.0,Overweight,Moderate
96.33,8.25,6.28,27.53,28.79,Overweight,Low
34.83,7.08,3.83,26.82,45.07,Overweight,Moderate
38.26,6.51,1.72,21.15,40.16,Normal,Moderate
91.06,4.83,3.56,18.72,39.93,Normal,Moderate
100.0,6.79,5.08,29.39,35.42,Overweight,Low
36.91,5.13,7.76,26.09,45.73,Overweight,High
51.37,8.16,2.92,30.72,55.52,Obese,High
64.15,8.82,5.01,24.99,35.19,Normal,Low
89.12,6.04,6.69,18.46,28.01,Underweight,Low
40.24,7.36,0.0,29.84,58.59,Overweight,Moderate
53.58,6.13,7.47,23.42,28.63,Normal,Low
71.99,6.25,2.6,26.84,43.09,Overweight,Moderate
65.83,7.93,5.93,22.09,19.41,Normal,Low
51.23,6.95,5.74,33.09,56.18,Obese,High
55.59,9.09,7.59,20.99,27.94,Normal,Low
33.25,6.42,6.41,23.58,34.64,Normal,Moderate
53.71,8.2,0.0,25.72,46.4,Overweight,Moderate
53.21,7.12,3.47,19.96,32.9,Normal,Low
62.18,7.95,5.5,26.79,35.01,Overweight,Low
48.0,6.46,4.77,32.94,61.28,Obese,High
66.49,6.94,6.25,22.85,21.54,Normal,Low
76.23,6.86,6.94,27.1,30.58,Overweight,Low
60.8,6.0,6.54,15.5,44.27,Underweight,Moderate
64.33,7.79,4.73,25.01,29.93,Overweight,Low
58.96,7.78,1.14,23.7,34.54,Normal,Moderate
58.0,7.71,4.2,21.27,25.44,Normal,Low
45.01,8.84,6.12,30.39,53.67,Obese,Moderate
63.7,8.74,2.8,23.63,35.32,Normal,Moderate
56.25,6.55,6.59,24.35,30.04,Normal,Low
95.68,7.45,7.2,23.39,11.04,Normal,Low
86.32,6.25,5.48,16.0,37.1,Underweight,Moderate
64.95,7.03,0.0,19.77,37.98,Normal,Moderate
44.26,6.28,2.39,29.81,58.92,Overweight,High
37.98,8.94,9.35,15.5,44.02,Underweight,Moderate
79.44,7.44,4.0,21.52,18.9,Normal,Low
62.73,6.74,0.83,23.28,35.74,Normal,Moderate
66.64,8.43,7.92,33.57,51.58,Obese,High
26.6,4.4,5.23,28.89,65.73,Overweight,High
74.69,4.58,7.63,22.53,29.27,Normal,Moderate
66.18,7.96,5.81,31.46,47.03,Obese,Moderate
38.01,7.07,6.21,21.65,26.56,Normal,Low
49.51,7.3,6.0,30.04,45.23,Obese,Moderate
62.75,5.41,6.73,18.68,37.49,Normal,Moderate
58.94,6.97,10.0,30.35,37.64,Obese,Moderate
52.74,9.4,7.34,23.25,31.67,Normal,Low
56.14,7.99,1.72,20.26,35.38,Normal,Moderate
53.46,7.2,6.18,24.16,27.26,Normal,Low
60.75,6.47,7.71,26.53,33.47,Overweight,Low
84.49,6.53,7.85,22.83,16.16,Normal,Low
11.8,4.44,4.26,27.86,68.07,Overweight,High
53.74,7.31,7.76,22.4,18.3,Normal,Low
61.18,8.01,7.24,28.18,36.18,Overweight,Low
63.33,5.11,10.0,27.32,38.35,Overweight,Moderate
51.31,6.21,3.55,24.91,40.95,Normal,Moderate
26.38,5.61,4.08,23.08,44.19,Normal,High
63.9,5.84,4.53,25.93,40.9,Overweight,Moderate
89.09,7.06,4.12,27.84,34.01,Overweight,Low
30.39,4.5,3.24,35.1,83.07,Obese,High
73.55,7.74,0.0,29.71,50.45,Overweight,Moderate
52.09,7.9,4.24,29.88,48.8,Overweight,Moderate
56.9,6.7,6.01,40.0,58.33,Obese,High
39.05,4.02,4.11,27.68,63.43,Overweight,High
51.98,5.8,9.46,27.53,38.9,Overweight,Moderate
81.4,8.48,5.23,28.58,38.98,Overweight,Moderate
68.49,3.67,8.04,20.36,36.59,Normal,Moderate
89.18,6.58,5.78,23.07,19.51,Normal,Low
79.19,5.58,7.02,22.77,24.36,Normal,Low
65.9,7.97,5.81,28.31,37.96,Overweight,Moderate
89.39,6.19,8.21,24.36,20.61,Normal,Low
65.9,7.48,5.32,25.86,29.23,Overweight,Low
72.9,7.68,6.29,30.42,39.77,Obese,Moderate
52.66,9.2,6.01,29.34,50.97,Overweight,Moderate
59.2,6.76,4.57,24.42,32.39,Normal,Low
45.45,7.45,6.09,21.98,21.78,Normal,Low
75.81,5.22,10.0,30.65,44.31,Obese,Moderate
36.79,8.43,4.61,28.91,52.07,Overweight,High
72.08,6.09,6.12,17.49,35.96,Underweight,Low
54.57,6.33,7.97,23.7,27.08,Normal,Low
79.08,6.97,7.71,25.99,24.47,Overweight,Low
71.52,5.12,5.23,28.94,50.48,Overweight,Moderate
90.77,7.27,0.0,29.57,45.67,Overweight,Moderate
71.15,8.16,6.34,26.56,31.62,Overweight,Low
29.7,7.35,0.32,28.01,55.32,Overweight,High
56.79,5.09,8.43,25.51,37.92,Overweight,Moderate
36.9,6.85,5.57,21.97,28.44,Normal,Low
48.67,7.89,7.4,23.95,25.94,Normal,Low
85.2,4.75,3.22,25.29,42.6,Overweight,Moderate
69.48,5.71,1.78,25.03,43.14,Overweight,Moderate
45.42,8.05,5.77,16.15,42.32,Underweight,Moderate
39.75,7.32,5.13,23.29,29.58,Normal,Moderate
58.59,7.49,4.12,25.47,32.27,Overweight,Low
36.1,9.23,5.39,23.85,40.49,Normal,Moderate
45.92,7.56,10.0,24.02,19.75,Normal,Low
63.62,7.79,7.04,27.54,32.84,Overweight,Low
78.8,10.0,7.51,20.02,30.34,Normal,Low
68.96,6.74,7.06,17.39,31.43,Underweight,Low
16.76,6.04,8.45,23.53,36.69,Normal,Low
63.48,7.51,4.78,28.87,39.67,Overweight,Moderate
59.3,7.53,0.68,33.3,61.93,Obese,High
65.45,6.37,4.79,28.95,45.82,Overweight,Moderate
87.09,5.76,6.99,18.15,30.41,Underweight,Moderate
20.86,9.77,3.07,24.08,52.71,Normal,High
47.36,7.39,4.81,26.43,37.08,Overweight,Low
68.64,6.12,3.68,26.05,40.18,Overweight,Low
29.53,8.1,8.5,27.79,40.92,Overweight,Moderate
84.57,6.87,6.85,20.8,17.27,Normal,Low
64.63,6.7,6.63,25.51,30.41,Overweight,Low
73.24,7.67,6.57,27.22,29.77,Overweight,Low
47.72,5.45,5.12,29.16,55.44,Overweight,High
72.65,7.42,5.63,21.33,17.95,Normal,Low
77.23,9.3,2.59,23.54,35.27,Normal,Moderate
62.19,7.56,0.39,15.5,47.97,Underweight,Moderate
62.22,6.55,5.53,22.22,24.45,Normal,Low
62.87,6.39,5.91,22.68,25.78,Normal,Low
42.46,6.51,7.86,20.31,29.28,Normal,Low
55.34,6.7,8.66,25.99,30.1,Overweight,Low
55.25,6.55,8.65,24.93,27.88,Normal,Low
64.9,8.1,3.0,15.5,45.15,Underweight,Moderate
76.0,4.92,4.43,26.23,44.24,Overweight,Moderate
38.95,8.03,6.26,20.74,29.47,Normal,Low
55.75,6.54,10.0,27.53,32.66,Overweight,Low
84.67,7.45,8.46,19.05,15.81,Normal,Low
44.62,5.65,7.66,25.34,38.86,Overweight,Moderate
43.2,8.59,4.35,23.84,37.13,Normal,Low
61.64,8.49,3.26,26.65,42.34,Overweight,Moderate
73.2,8.15,6.94,25.8,27.63,Overweight,Low
58.21,5.18,2.78,23.98,43.9,Normal,Moderate
81.92,7.99,4.68,17.83,30.17,Underweight,Low
73.42,7.49,4.95,18.11,28.18,Underweight,Low
73.15,5.07,8.7,22.4,24.33,Normal,Moderate
67.97,6.97,4.42,25.16,31.41,Overweight,Low
99.9,7.44,0.0,22.28,21.2,Normal,Low
54.31,7.67,6.31,28.2,37.85,Overweight,Low
21.94,7.21,3.66,23.86,39.26,Normal,Moderate
86.88,7.35,5.29,20.57,17.73,Normal,Low
49.76,8.77,5.01,23.87,35.23,Normal,Low
59.94,8.47,4.6,26.28,38.86,Overweight,Moderate
81.57,3.56,6.94,26.76,44.61,Overweight,Moderate
29.16,6.62,1.83,34.22,74.09,Obese,High
35.47,6.8,4.06,21.99,32.02,Normal,Low
29.18,4.9,6.7,24.85,47.47,Normal,High
43.71,7.11,3.85,27.25,43.89,Overweight,Moderate
65.91,8.5,1.66,25.09,39.91,Overweight,Moderate
67.44,5.7,6.67,22.8,27.43,Normal,Low
62.97,7.4,7.67,17.76,26.82,Underweight,Low
32.57,5.9,5.1,22.75,37.97,Normal,Moderate
16.42,6.19,0.89,20.05,52.29,Normal,High
58.98,8.77,6.75,16.91,38.86,Underweight,Moderate
49.51,6.35,1.55,21.38,37.91,Normal,Moderate
66.27,7.55,5.88,20.17,22.31,Normal,Low
70.64,4.75,3.25,28.0,54.04,Overweight,Moderate
60.49,9.23,2.65,28.09,52.24,Overweight,High
71.68,7.72,4.23,20.86,23.22,Normal,Low
62.13,6.78,4.8,23.95,29.67,Normal,Low
67.54,7.69,3.78,16.28,38.32,Underweight,Moderate
45.32,5.31,6.5,22.83,35.62,Normal,Moderate
54.77,8.42,4.22,27.12,43.04,Overweight,Moderate
61.54,6.61,7.36,29.16,40.86,Overweight,Moderate
72.77,6.76,5.82,21.78,20.08,Normal,Low
50.91,6.41,3.67,30.25,55.23,Obese,High
67.38,6.3,3.29,17.92,40.29,Underweight,Moderate
53.21,7.83,1.58,19.21,38.59,Normal,Moderate
55.88,7.31,5.84,28.61,39.72,Overweight,Low
72.93,7.78,4.42,33.22,52.27,Obese,High
22.12,6.99,0.0,27.57,58.63,Overweight,High
34.66,7.62,4.02,25.01,37.72,Overweight,Low
31.32,6.5,3.22,15.5,55.42,Underweight,High
15.99,9.68,8.67,15.5,55.06,Underweight,High
45.79,5.12,1.45,25.82,55.4,Overweight,High
71.49,8.51,2.03,23.48,33.18,Normal,Low
52.87,8.64,7.64,19.89,29.17,Normal,Low
61.56,5.98,8.18,25.51,32.19,Overweight,Low
77.61,9.68,3.56,25.75,41.85,Overweight,Moderate
81.9,8.19,3.81,29.73,43.43,Overweight,Moderate
56.76,8.17,6.56,25.86,32.75,Overweight,Low
82.36,7.03,0.08,31.1,53.44,Obese,High
59.66,6.74,1.11,25.24,41.67,Overweight,Moderate
42.93,6.75,4.58,24.65,37.12,Normal,Moderate
47.3,7.47,8.61,30.31,40.37,Obese,Moderate
31.35,8.68,4.24,20.5,39.8,Normal,Moderate
42.01,7.22,5.42,38.71,60.27,Obese,High
51.56,5.91,7.69,27.0,40.42,Overweight,Moderate
72.46,7.99,9.84,27.03,24.67,Overweight,Low
88.97,8.11,3.93,27.72,35.04,Overweight,Low
33.12,7.79,5.16,34.21,63.03,Obese,High
65.07,7.89,9.21,29.0,33.0,Overweight,Low
39.27,6.67,1.85,17.5,49.33,Underweight,High
66.54,5.89,7.46,31.94,51.65,Obese,High
55.64,5.96,2.96,23.56,38.54,Normal,Moderate
25.04,5.04,5.43,25.71,52.79,Overweight,High
74.71,7.28,4.67,19.06,26.8,Normal,Low
47.11,6.9,3.09,27.73,47.17,Overweight,Moderate
48.39,6.47,3.04,22.07,32.92,Normal,Low
38.74,3.5,5.81,25.68,54.43,Overweight,High
46.22,5.5,7.39,23.84,35.43,Normal,Moderate
65.7,8.35,4.91,34.44,58.57,Obese,High
54.59,6.2,5.35,34.71,63.06,Obese,High
63.92,7.43,6.46,25.42,26.48,Overweight,Low
64.51,5.33,3.06,25.51,45.37,Overweight,Moderate
81.77,8.73,6.83,23.41,22.02,Normal,Low
51.83,6.83,7.0,30.51,46.7,Obese,Moderate
31.42,7.35,10.0,23.62,22.74,Normal,Low
77.21,9.79,4.37,23.18,33.48,Normal,Moderate
52.03,8.82,4.19,29.9,54.18,Overweight,Moderate
78.06,6.63,6.89,22.62,18.46,Normal,Low
64.9,6.29,7.0,25.02,30.5,Overweight,Low
55.64,6.61,4.02,17.61,40.94,Underweight,Moderate
64.28,7.61,4.31,28.58,40.14,Overweight,Moderate
93.12,6.87,6.39,34.52,47.52,Obese,Moderate
95.39,6.53,3.38,28.66,39.39,Overweight,Moderate
59.25,8.76,4.3,32.22,58.6,Obese,High
60.88,6.86,5.4,21.14,25.14,Normal,Low
77.37,9.76,7.39,26.33,36.43,Overweight,Moderate
42.78,7.11,3.87,20.67,32.67,Normal,Low
64.0,9.14,1.15,24.11,42.24,Normal,Moderate
57.53,7.43,0.98,28.91,49.2,Overweight,Moderate
63.65,8.16,2.43,25.69,38.73,Overweight,Moderate
43.0,6.13,2.31,18.42,47.9,Underweight,Moderate
29.39,5.98,4.86,18.89,45.72,Normal,High
20.69,7.55,2.58,18.57,44.96,Normal,Moderate
37.89,8.19,3.65,27.56,48.36,Overweight,Moderate
49.74,7.05,3.5,35.11,63.15,Obese,High
52.72,5.46,4.23,31.74,63.44,Obese,High
92.87,5.37,8.11,16.1,34.96,Underweight,Moderate
77.91,5.29,6.66,32.02,54.08,Obese,High
40.68,4.88,5.24,29.69,61.78,Overweight,High
64.26,7.13,4.19,17.78,34.97,Underweight,Moderate
50.67,8.35,4.25,23.74,33.78,Normal,Low
52.88,6.98,5.92,30.46,47.56,Obese,High
61.34,4.29,6.49,27.84,52.09,Overweight,High
69.15,6.77,3.2,18.92,34.47,Normal,Low
51.89,6.8,5.28,28.13,43.32,Overweight,Moderate
77.15,9.52,0.73,15.5,54.73,Underweight,High
37.45,5.25,5.67,24.13,43.37,Normal,Moderate
58.11,6.53,6.88,30.66,47.52,Obese,Moderate
100.0,9.05,4.58,25.29,29.26,Overweight,Low
62.02,7.54,9.2,22.81,13.68,Normal,Low
83.8,7.68,3.26,29.47,40.32,Overweight,Moderate
59.65,7.14,5.68,29.88,43.78,Overweight,Moderate
68.45,7.4,5.12,31.49,45.91,Obese,Moderate
56.98,7.93,4.98,29.4,44.85,Overweight,Moderate
54.93,6.03,4.95,30.39,54.25,Obese,Moderate
43.97,8.05,5.44,28.72,45.89,Overweight,Moderate
65.75,5.35,7.07,26.47,39.76,Overweight,Moderate
42.67,7.39,8.23,25.63,29.06,Overweight,Low
69.98,7.21,5.2,24.06,24.76,Normal,Low
77.54,6.26,6.99,19.38,26.35,Normal,Low
64.6,6.97,3.66,20.61,28.59,Normal,Low
52.85,6.25,6.89,23.85,30.53,Normal,Low
66.17,5.71,3.52,26.36,44.33,Overweight,Moderate
